market,indicator,date,value,unit,source,source_type,frequency,notes
JP,Rates,2025-06-12,0.481,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-13,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-16,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-17,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-18,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-19,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-20,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-23,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-24,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-25,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-26,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-27,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-06-30,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-01,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-02,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-03,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-04,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-07,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-08,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-09,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-10,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-11,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-14,0.479,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-15,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-16,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-17,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-18,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-22,0.479,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-23,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-24,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-25,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-28,0.479,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-29,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-30,0.481,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-07-31,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-01,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-04,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-05,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-06,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-07,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-08,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-12,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-13,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-14,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-15,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-18,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-19,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-20,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-21,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-22,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-25,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-26,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-27,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-28,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-08-29,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-01,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-02,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-03,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-04,0.479,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-05,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-08,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-09,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-10,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-11,0.48,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-12,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-16,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-17,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-18,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-19,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-22,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-24,0.478,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-25,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-26,0.476,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-29,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-09-30,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-10-01,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-10-02,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-10-03,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-10-06,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-10-07,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
JP,Rates,2025-10-08,0.477,%,BOJ Time-Series Data Search manual export - FM01 STRDCLUCON,Manual official seed,daily,Dropped NA/weekend/blank future rows
