market,indicator,source,source_type,endpoint,notes
US,Inflation,FRED CPIAUCSL YoY,Official / API,https://fred.stlouisfed.org/series/CPIAUCSL,Computed YoY from CPI index
US,Unemployment,FRED UNRATE,Official / API,https://fred.stlouisfed.org/series/UNRATE,US unemployment rate
US,Claims,FRED ICSA,Official / API,https://fred.stlouisfed.org/series/ICSA,US initial claims
US,Rates,FRED DGS10,Official / API,https://fred.stlouisfed.org/series/DGS10,US 10-year Treasury
SG,Inflation,SingStat CPI,Official / Reviewed,,Reviewed static row pending full integration
SG,Unemployment,MOM / SingStat unemployment,Official / Reviewed,,Reviewed static row
SG,Rates,SG SORA live redistributor only,Live app only,,Excluded from macro pack
HK,Inflation,C&SD Table 510-60001 Composite CPI YoY,Official / Reviewed,,Reviewed/live integration dependent
MY,Inflation,OpenDOSM storage CSV cpi_2d_inflation,Official CSV,https://storage.dosm.gov.my/cpi/cpi_2d_inflation.csv,Filter division=overall; use inflation_yoy
MY,Unemployment,OpenDOSM unemployment,Official / API,https://api.data.gov.my/opendosm,Tolerant helper; manual if unavailable
MY,Rates,BNM OPR,Live app only,,Excluded from macro pack if live policy applies
JP,Rates,BOJ FM01 STRDCLUCON CSV,Live app only,,Excluded from macro pack
PMI,PMI,Seed rows,Seed,,Review before active use
