market,indicator,source,endpoint_or_url,role,notes
SG,Rates,MAS SORA,MAS open search/API route in Streamlit live adapter,Live API only,Decision 1; excluded from active macro_data.csv.
MY,Rates,BNM OPR,BNM OpenAPI live adapter,Live API only,Decision 2; excluded from active macro_data.csv.
HK,Rates,HKMA HIBOR / HKD rates,HKMA Open API live adapter,Live API only,Decision 3; excluded from active macro_data.csv.
JP,Rates,BOJ FM01 overnight call rate,BOJ Time-Series API live adapter,Live API only,Decision 4; excluded from active macro_data.csv.
MY,Unemployment,OpenDOSM u_rate,OpenDOSM API live adapter,Live API exception,Decision 5; live API due unreliable monthly pack route.
JP,Unemployment,DBnomics / STATJP,DBnomics API live adapter,Live API exception,Decision 6; live API due unreliable monthly pack route.
JP,Inflation,DBnomics / STATJP CPI,DBnomics API live adapter,Live API exception,Decision 7; live API due unreliable monthly pack route.
HK,Inflation,C&SD Table 510-60001 Composite CPI YoY,https://www.censtatd.gov.hk/api/get.php?id=510-60001&lang=en&full_series=1,Macro pack official API,sv=CC_CM_1920; period=YYYYMM; value=figure.
US,Inflation,FRED CPIAUCSL YoY,https://fred.stlouisfed.org/graph/fredgraph.csv?id=CPIAUCSL,Macro pack official API,Computed YoY from CPI index.
US,Unemployment,FRED UNRATE,https://fred.stlouisfed.org/graph/fredgraph.csv?id=UNRATE,Macro pack official API,Latest value.
US,Claims,FRED ICSA,https://fred.stlouisfed.org/graph/fredgraph.csv?id=ICSA,Macro pack official API,Converted to thousands.
US,Rates,FRED DGS10,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS10,Macro pack official API,US 10-year Treasury constant maturity.
