Tabulated variable Code,Tabulated variable Auxiliary Code,Tabulated variable,Industry Code,Industry Auxiliary Code,Industry,Labour force status Code,Labour force status Auxiliary Code,Labour force status,Area Code,Area Auxiliary Code,Area,Time (Monthly) Code,Time (Monthly) Auxiliary Code,Time (Monthly),/Sex,Both sexes,Male,Female
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000101,,Jan. 2025,,2.3,2.5,2.2
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000202,,Feb. 2025,,2.4,2.5,2.2
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000303,,Mar. 2025,,2.6,2.7,2.4
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000404,,Apr. 2025,,2.7,2.9,2.5
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000505,,May-25,,2.6,2.7,2.5
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000606,,Jun. 2025,,2.5,2.5,2.5
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000707,,Jul. 2025,,2.4,2.5,2.3
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000808,,Aug. 2025,,2.6,2.8,2.4
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025000909,,Sep. 2025,,2.6,2.8,2.4
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025001010,,Oct. 2025,,2.6,2.9,2.3
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025001111,,Nov. 2025,,2.4,2.8,2
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2025001212,,Dec. 2025,,2.4,2.7,1.9
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2026000101,,Jan. 2026,,2.6,2.8,2.3
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2026000202,,Feb. 2026,,2.6,2.8,2.4
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2026000303,,Mar. 2026,,2.8,3,2.5
2,,Rate[%],0,,All industries,8,,Unemployed person,0,,All Japan,2026000404,,Apr. 2026,,2.7,2.9,2.5
