Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
All Items,1.8,1.8,1.8,1.2,1.4,1.2,1.2,1.2,0.7,0.5,0.6,0.8,0.8
  Food,1.8,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1,1.1
  Food Excl Food & Beverage Serving Services,2.6,2.3,2.2,2.2,0.8,0.9,0.8,0.8,0.2,0.9,1,0.8,0.9
    Rice & Cereal Products,1.5,1.7,1,0.3,0.8,0.3,0.6,0.9,0.9,1.4,1.5,1.6,2.1
      Rice,0.9,-0.3,-1,-3.2,-1.9,-4.1,-1.4,-1.2,-1.1,1.2,1.3,0.8,2.9
      Flour,2.2,5.8,-0.1,-4.2,-2,-3.1,-3.1,-3.2,-3.7,-3.7,-6.8,-0.7,-3.3
      Bread,0.9,0.9,0.3,0.3,0.9,1.3,1.2,1.6,2.2,2.5,2.3,2.7,2.8
"      Macaroni, Noodles & Similar Pasta Products",-0.5,-1.4,-1.6,-3.7,-1.3,-1.5,-1.3,-1.5,-2.3,0.1,2.1,-0.4,-0.2
      Biscuits & Cookies,0.3,2,2.2,0.9,0.8,0.9,2.4,3.1,1.4,3,3.9,2.5,3.3
      Cakes & Pastries,3.2,3.6,2.7,2.5,2.1,1.3,1.5,1.3,1.2,0.9,0.8,2.3,2.3
      Breakfast Cereals,1.4,0.4,0,2.1,1.7,-0.8,-1.9,-0.6,-1.5,-2.9,-2.5,-3,-1.2
      Other Cereal Products Nec,1.6,3.3,1.2,1.3,3.1,4.5,-1.5,2.3,4.8,1.8,2.2,-2.4,0.5
    Meat,1,1.1,1.4,1.6,1.1,1.2,1,1,0.2,-0.3,0.8,0.4,0.8
"      Pork, Chilled Or Frozen",1.7,1.9,2.2,1.7,0.4,1.1,1.8,0.6,-0.4,-0.9,0.9,0.5,0.5
"      Beef, Chilled Or Frozen",2.3,1.4,0.5,3.4,6,6.3,5.4,5.5,2.8,5,4.7,5,10.6
"      Mutton, Chilled Or Frozen",12.2,9.7,7.6,11,13.5,9.3,0.2,12.1,6.9,2.4,12.3,4,-0.6
"      Poultry, Chilled Or Frozen",-1,-0.4,1.4,0.3,-0.1,-0.1,-0.6,-0.8,-0.2,-1.3,-1,-0.8,-1
"      Meat, Preserved Or Prepared",0.4,0.7,-0.6,1.1,-1.1,-1.3,-1,-0.1,-0.8,-1.8,-0.8,-1.5,-2.1
    Fish & Other Seafood,7.4,4.9,5.9,7.4,-2.2,-1.4,-0.5,0.2,-2.2,-0.8,-1,-2.9,-3.1
"      Fish, Fresh Or Chilled",8,6.4,5.9,6.1,-3.1,-1.3,0,-0.2,-2.7,-2.7,-2.1,-4,-4.6
"      Fish, Frozen",6.1,10.7,14.2,3.7,8.7,3.6,-0.5,-1.2,-1.6,-1.9,-0.4,1.1,0.5
"      Other Seafood, Fresh, Chilled Or Frozen",11.1,6.2,9.8,17.9,-3.1,-2.8,-0.2,3.9,-1.1,4.4,1.2,-3.9,-1.7
      Seafood Preparations,2.1,-1.2,0.7,0.4,0,-0.5,-2,-2.3,-1.8,-0.7,-0.4,0.7,-1
"    Milk, Other Dairy Products & Eggs",0.3,0.1,0.9,0.7,1.4,1.4,0.7,0.2,0.2,0,0.1,0.7,0.7
      Milk,1.9,1,2,0.6,0.2,1,-1.1,-0.7,-0.5,-0.9,-1.4,-1,-2
      Other Milk & Cream,0.4,0.1,0.5,1.1,1.7,1.8,1,0.9,1.6,2,2.4,2,2.7
      Dairy Products Nec,-1.8,-0.9,1.2,-0.1,2.1,2.1,2,-0.5,-0.9,-1.7,-1.3,0,1.8
      Eggs,0.5,0.2,0.3,0.7,1.6,0.4,0.8,0.5,-0.3,-0.9,-0.9,0.6,-0.9
    Oils & Fats,-2,-1.4,-1.1,-0.7,-0.3,0.7,2.6,3.3,4.2,5.6,3.4,5.8,4.7
      Vegetable Oils,-3.2,-2.4,-2.6,-0.6,-1.2,-0.1,2,2.6,4.6,7.4,5.1,7.7,6.2
      Butter & Other Fats,2,1.7,3.7,-0.9,2.2,3.2,4.4,5.3,2.8,0.6,-1.6,-0.1,0.1
    Fruits & Nuts,4.5,2.7,2.7,3.2,-0.4,1.7,-0.8,-0.5,-1.5,2.7,1.3,4.3,2.9
"      Tropical Fruits, Fresh",0.7,1.3,-1.2,2.5,-2.1,0.2,-5.5,-9.9,-8.6,-3.9,-2.2,1.5,8
