SORA Value Date,,,SORA Publication Date,SORA
2025,Jun,02,03 Jun 2025,2.1229
,,03,04 Jun 2025,1.8245
,,04,05 Jun 2025,1.5620
,,05,06 Jun 2025,1.4568
,,06,09 Jun 2025,1.4724
,,09,10 Jun 2025,1.5092
,,10,11 Jun 2025,1.7832
,,11,12 Jun 2025,1.8919
,,12,13 Jun 2025,1.7439
,,13,16 Jun 2025,1.7531
,,16,17 Jun 2025,1.7685
,,17,18 Jun 2025,1.6644
,,18,19 Jun 2025,1.8111
,,19,20 Jun 2025,1.7594
,,20,23 Jun 2025,1.7930
,,23,24 Jun 2025,1.6795
,,24,25 Jun 2025,1.6785
,,25,26 Jun 2025,1.7466
,,26,27 Jun 2025,1.8108
,,27,30 Jun 2025,1.6345
,,30,01 Jul 2025,1.5598
,Jul,01,02 Jul 2025,1.4297
,,02,03 Jul 2025,1.4954
,,03,04 Jul 2025,1.5695
,,04,07 Jul 2025,1.4896
,,07,08 Jul 2025,1.5986
,,08,09 Jul 2025,1.6566
,,09,10 Jul 2025,1.6217
,,10,11 Jul 2025,1.6104
,,11,14 Jul 2025,1.7048
,,14,15 Jul 2025,1.6642
,,15,16 Jul 2025,1.5284
,,16,17 Jul 2025,1.5451
,,17,18 Jul 2025,1.3029
,,18,21 Jul 2025,1.3181
,,21,22 Jul 2025,1.2996
,,22,23 Jul 2025,1.4564
,,23,24 Jul 2025,1.8136
,,24,25 Jul 2025,1.9165
,,25,28 Jul 2025,1.8852
,,28,29 Jul 2025,1.7849
,,29,30 Jul 2025,1.8668
,,30,31 Jul 2025,1.8246
,,31,01 Aug 2025,1.7516
,Aug,01,04 Aug 2025,1.5817
,,04,05 Aug 2025,1.6645
,,05,06 Aug 2025,1.6922
,,06,07 Aug 2025,1.6030
,,07,08 Aug 2025,1.6337
,,08,11 Aug 2025,1.6067
,,11,12 Aug 2025,1.6123
,,12,13 Aug 2025,1.3941
,,13,14 Aug 2025,1.3742
,,14,15 Aug 2025,1.3053
,,15,18 Aug 2025,1.1958
,,18,19 Aug 2025,1.2518
,,19,20 Aug 2025,1.4948
,,20,21 Aug 2025,1.7069
,,21,22 Aug 2025,1.5064
,,22,25 Aug 2025,1.2648
,,25,26 Aug 2025,1.1347
,,26,27 Aug 2025,0.9504
,,27,28 Aug 2025,0.8668
,,28,29 Aug 2025,0.9728
,,29,01 Sep 2025,1.0396
,Sep,01,02 Sep 2025,0.7261
,,02,03 Sep 2025,0.9315
,,03,04 Sep 2025,1.4808
,,04,05 Sep 2025,1.4707
,,05,08 Sep 2025,1.7007
,,08,09 Sep 2025,1.6383
,,09,10 Sep 2025,1.7149
,,10,11 Sep 2025,1.4302
,,11,12 Sep 2025,1.3468
,,12,15 Sep 2025,1.3736
,,15,16 Sep 2025,1.3764
,,16,17 Sep 2025,1.1235
,,17,18 Sep 2025,1.1218
,,18,19 Sep 2025,1.1129
,,19,22 Sep 2025,1.5372
,,22,23 Sep 2025,1.4201
,,23,24 Sep 2025,1.3212
,,24,25 Sep 2025,1.2180
,,25,26 Sep 2025,1.3180
,,26,29 Sep 2025,1.3773
,,29,30 Sep 2025,1.3755
,,30,01 Oct 2025,1.1990
,Oct,01,02 Oct 2025,1.0402
,,02,03 Oct 2025,1.0847
,,03,06 Oct 2025,1.2469
,,06,07 Oct 2025,0.9886
,,07,08 Oct 2025,1.1621
,,08,09 Oct 2025,1.2430
,,09,10 Oct 2025,1.5033
,,10,13 Oct 2025,1.4439
,,13,14 Oct 2025,1.2878
,,14,15 Oct 2025,1.2879
,,15,16 Oct 2025,1.2249
,,16,17 Oct 2025,1.1306
,,17,21 Oct 2025,1.3384
,,21,22 Oct 2025,1.2262
,,22,23 Oct 2025,1.1649
,,23,24 Oct 2025,1.1507
,,24,27 Oct 2025,1.2447
,,27,28 Oct 2025,1.1525
,,28,29 Oct 2025,0.9414
,,29,30 Oct 2025,0.9622
,,30,31 Oct 2025,1.1456
,,31,03 Nov 2025,1.3515
,Nov,03,04 Nov 2025,1.0306
,,04,05 Nov 2025,0.9741
,,05,06 Nov 2025,0.8707
,,06,07 Nov 2025,0.8568
,,07,10 Nov 2025,0.9396
,,10,11 Nov 2025,1.0879
,,11,12 Nov 2025,0.9941
,,12,13 Nov 2025,0.9166
,,13,14 Nov 2025,1.0034
,,14,17 Nov 2025,1.0216
,,17,18 Nov 2025,1.2845
,,18,19 Nov 2025,1.1555
,,19,20 Nov 2025,1.2484
,,20,21 Nov 2025,1.3935
,,21,24 Nov 2025,1.6685
,,24,25 Nov 2025,1.2670
,,25,26 Nov 2025,1.0782
,,26,27 Nov 2025,1.1713
,,27,28 Nov 2025,1.2700
,,28,01 Dec 2025,1.0518
,Dec,01,02 Dec 2025,1.0297
,,02,03 Dec 2025,0.9457
,,03,04 Dec 2025,0.9624
,,04,05 Dec 2025,1.0027
,,05,08 Dec 2025,1.1351
,,08,09 Dec 2025,1.1503
,,09,10 Dec 2025,1.0664
,,10,11 Dec 2025,1.0377
,,11,12 Dec 2025,1.0593
,,12,15 Dec 2025,1.1768
,,15,16 Dec 2025,1.1563
,,16,17 Dec 2025,1.2652
,,17,18 Dec 2025,1.2629
,,18,19 Dec 2025,1.2790
,,19,22 Dec 2025,1.3529
,,22,23 Dec 2025,1.3290
,,23,24 Dec 2025,1.2776
,,24,26 Dec 2025,1.2334
,,26,29 Dec 2025,1.2221
,,29,30 Dec 2025,1.3414
,,30,31 Dec 2025,1.3212
,,31,02 Jan 2026,0.8949


SORA Value Date,,,SORA Publication Date,SORA
2026,Jan,02,05 Jan 2026,1.0119
,,05,06 Jan 2026,1.0970
,,06,07 Jan 2026,1.1005
,,07,08 Jan 2026,1.0180
,,08,09 Jan 2026,1.0286
,,09,12 Jan 2026,1.0545
,,12,13 Jan 2026,0.9742
,,13,14 Jan 2026,0.9285
,,14,15 Jan 2026,1.0614
,,15,16 Jan 2026,1.3342
,,16,19 Jan 2026,1.2119
,,19,20 Jan 2026,0.9821
,,20,21 Jan 2026,0.9284
,,21,22 Jan 2026,0.9361
,,22,23 Jan 2026,1.1667
,,23,26 Jan 2026,1.3741
,,26,27 Jan 2026,1.4489
,,27,28 Jan 2026,1.2136
,,28,29 Jan 2026,1.3100
,,29,30 Jan 2026,1.4553
,,30,02 Feb 2026,1.1092
,Feb,02,03 Feb 2026,1.1251
,,03,04 Feb 2026,0.9793
,,04,05 Feb 2026,0.8908
,,05,06 Feb 2026,0.9307
,,06,09 Feb 2026,0.8641
,,09,10 Feb 2026,0.9142
,,10,11 Feb 2026,0.8694
,,11,12 Feb 2026,0.8678
